Formula_mono_iso_wt_nat	Formula
99.03202841	C4H5NO2
99.06841392	C5H9NO
99.10479942	C6H13N
100.0272774	C3H4N2O2
100.0524295	C5H8O2
100.0636629	C4H8N2O
100.088815	C6H12O
101.0476785	C4H7NO2
101.0701453	C2H7N5
101.084064	C5H11NO
101.1204495	C6H15N
102.0251689	C3H6N2S
102.0316941	C4H6O3
102.0429274	C3H6N2O2
102.0680796	C5H10O2
102.079313	C4H10N2O
102.0913404	C5H12NO
102.1156985	C5H14N2
103.026943	C3H5NO3
103.0381764	C2H5N3O2
103.0421992	C7H5N
103.0633285	C4H9NO2
104.0109586	C3H4O4
104.022192	C2H4N2O3
104.0374481	C6H4N2
104.0473441	C4H8O3
104.0585775	C3H8N2O2
104.0626003	C8H8
104.1069905	C5H14NO
105.0326971	C5H3N3
105.0425931	C3H7NO3
105.06122	C4H11NS
105.0789786	C4H11NO2
105.9821571	C3H3ClO2
106.0088501	C3H6O2S
106.0266087	C3H6O4
106.0313169	CH6N4S
106.0418648	C7H6O
106.0782503	C8H10
107.0371138	C6H5NO
107.0382566	C3H6FNO2
107.0734993	C7H9N
107.9410901	C2FeN2
108.0211294	C6H4O2
108.0575149	C7H8O
108.0687483	C6H8N2
109.0197492	C2H7NO2S
109.0527639	C6H7NO
109.0639972	C5H7N3
109.0658271	C4H12ClN
109.0891494	C7H11N
109.963472	C2H6Se
109.9690055	C3H4Cl2
110.0367794	C6H6O2
110.0480128	C5H6N2O
111.0085296	CH6NO3P
111.0320284	C5H5NO2
111.0432618	C4H5N3O
111.0484274	C6H6FN
111.0796473	C5H9N3
111.9830293	CH4O4S
111.9925452	CH5O4P
112.0079779	C6H5Cl
112.016044	C5H4O3
112.0272774	C4H4N2O2
112.0524295	C6H8O2
113.0476785	C5H7NO2
113.0589119	C4H7N3O
113.084064	C6H11NO
113.9953086	C4H2O4
114.0316941	C5H6O3
114.0429274	C4H6N2O2
114.050321	C6H10S
114.0680796	C6H10O2
114.079313	C5H10N2O
114.1044651	C7H14O
114.1408506	C8H18
115.026943	C4H5NO3
115.0633285	C5H9NO2
116.0109586	C4H4O4
116.0473441	C5H8O3
116.0837296	C6H12O2
116.094963	C5H12N2O
117.0062076	C3H3NO4
117.0425931	C4H7NO3
117.0538265	C3H7N3O2
117.0578492	C8H7N
117.0789786	C5H11NO2
117.9143832	CHCl3
117.9902232	C3H2O5
118.0140326	C3H4NO4
118.0200835	C3H6N2OS
118.0266087	C4H6O4
118.0378421	C3H6N2O3
118.0530982	C7H6N2
118.0629942	C5H10O3
118.0742276	C4H10N2O2
118.0782503	C9H10
118.1226406	C6H16NO
119.0218577	C3H5NO4
119.0404846	C4H9NOS
119.0582432	C4H9NO3
119.9881147	C3H4O3S
120.0058732	C3H4O5
120.0067416	C4H8S2
120.0245002	C4H8O2S
120.0422587	C4H8O4
120.0435961	C5H4N4
120.0575149	C8H8O
120.0687483	C7H8N2
120.0939004	C9H12
120.1019051	C5H14NO2
120.9964883	C3H5O3S-
121.0197492	C3H7NO2S
121.0527639	C7H7NO
121.0738932	C4H11NO3
121.0891494	C8H11N
122.0367794	C7H6O2
122.0480128	C6H6N2O
122.0579088	C4H10O4
122.0731649	C8H10O
122.0843983	C7H10N2
123.0087062	C3H6ClNO2
123.0142699	C6H5NS
123.0320284	C6H5NO2
123.0432618	C5H5N3O
123.9505508	CH5AsO2
123.9830293	C2H4O4S
123.9925452	C2H5O4P
124.0016563	C3H8OS2
124.016044	C6H4O3
124.0524295	C7H8O2
124.0636629	C6H8N2O
125.0146638	C2H7NO3S
125.0241796	C2H8NO3P
125.0476785	C6H7NO2
125.0589119	C5H7N3O
125.0952974	C6H11N3
125.1204495	C8H15N
125.9631623	C2H6S3
125.9718097	CH3O5P
125.9986794	C2H6O4S
126.0081952	C2H7O4P
126.0236279	C7H7Cl
126.0316941	C6H6O3
126.0429274	C5H6N2O2
126.0541608	C4H6N4O
126.0653942	C3H6N6
126.0680796	C7H10O2
126.1044651	C8H14O
126.9359083	C2HCl2O2-
127.0188769	C6H6ClN
127.026943	C5H5NO3
127.0381764	C4H5N3O2
127.0494098	C3H5N5O
127.0633285	C6H9NO2
127.0745619	C5H9N3O
127.099714	C7H13NO
127.1109474	C6H13N3
127.1360996	C8H17N
127.9028404	CH2BrCl
127.9795702	C3H6Cl2O
128.0028925	C6H5ClO
128.022192	C4H4N2O3
128.0334254	C3H4N4O2
128.0473441	C6H8O3
128.0585775	C5H8N2O2
128.0626003	C10H8
128.0837296	C7H12O2
128.094963	C6H12N2O
128.1201151	C8H16O
129.017441	C3H3N3O3
129.0360679	C4H7N3S
129.0425931	C5H7NO3
129.0578492	C9H7N
129.0789786	C6H11NO2
129.090212	C5H11N3O
129.1014454	C4H11N5
129.1153641	C7H15NO
129.1517496	C8H19N
129.9143832	C2HCl3
130.0178556	C4H3FN2O2
130.0266087	C5H6O4
130.0629942	C6H10O3
130.0742276	C5H10N2O2
130.0993797	C7H14O2
130.1106131	C6H14N2O
130.1218465	C5H14N4
130.1226406	C7H16NO
130.1357652	C8H18O
130.1590261	C8H20N
131.0218577	C4H5NO4
131.0582432	C5H9NO3
131.0694765	C4H9N3O2
131.0734993	C9H9N
131.0946287	C6H13NO2
131.1058621	C5H13N3O
131.1422476	C6H17N3
132.0058732	C4H4O5
132.0171066	C3H4N2O4
132.0245002	C5H8O2S
132.0422587	C5H8O4
132.0435961	C6H4N4
132.0534921	C4H8N2O3
132.0575149	C9H8O
132.0647255	C3H8N4O2
132.0687483	C8H8N2
132.0778502	C4H10N3O2-
132.0786443	C6H12O3
132.0898776	C5H12N2O2
132.0939004	C10H12
132.9656051	C3H3NOS2
133.0375077	C4H7NO4
133.0487411	C3H7N3O3
133.0527639	C8H7NO
133.0561347	C5H11NOS
133.0639972	C7H7N3
133.0891494	C9H11N
133.9441641	C3FeN3
134.0215233	C4H6O5
134.0327567	C3H6N2O4
134.0401503	C5H10O2S
134.0579088	C5H10O4
134.0592462	C6H6N4
134.0691422	C4H10N2O3
134.0731649	C9H10O
134.0877692	C5H14N2S
134.1095504	C10H14
135.0353992	C4H9NO2S
135.0531578	C4H9NO4
135.0544952	C5H5N5
135.0684139	C8H9NO
135.1047994	C9H13N
136.0194148	C4H8O3S
136.0371734	C4H8O5
136.0385108	C5H4N4O
136.0524295	C8H8O2
136.0735589	C5H12O4
136.0748963	C6H8N4
136.088815	C9H12O
136.1000484	C8H12N2
136.1252005	C10H16
137.0476785	C7H7NO2
137.0589119	C6H7N3O
137.0709393	C7H9N2O
137.084064	C8H11NO
138.0081952	C3H7O4P
138.0177753	C4H2N4O2
138.0316941	C7H6O3
138.0429274	C6H6N2O2
138.0680796	C8H10O2
138.079313	C7H10N2O
138.0905463	C6H10N4
138.1044651	C9H14O
139.026943	C6H5NO3
139.0303139	C3H9NO3S
139.0398297	C3H10NO3P
139.0633285	C7H9NO2
139.0745619	C6H9N3O
139.099714	C8H13NO
139.1360996	C9H17N
139.9454654	CH5AsO3
139.9779439	C2H4O5S
139.9874598	C2H5O5P
140.0028925	C7H5ClO
140.0109586	C6H4O4
140.0238453	C3H9O4P
140.0273576	C7H5FO2
140.0402443	C4H10FO2P
140.0473441	C7H8O3
140.0585775	C6H8N2O2
140.0837296	C8H12O2
140.9827088	CH4NO5P
141.0062076	C5H3NO4
141.0190943	C2H8NO4P
141.0425931	C6H7NO3
141.0789786	C7H11NO2
141.090212	C6H11N3O
141.1153641	C8H15NO
141.1517496	C9H19N
141.9758354	C2H6O3S2
142.0088501	C6H6O2S
142.0185426	C7H7ClO
142.0266087	C6H6O4
142.0378421	C5H6N2O3
142.0629942	C7H10O3
142.0742276	C6H10N2O2
142.0782503	C11H10
142.0993797	C8H14O2
142.1226406	C8H16NO
143.0404846	C6H9NOS
143.0443244	C3H5N5O2
143.0582432	C6H9NO3
143.0734993	C10H9N
143.0946287	C7H13NO2
143.1310142	C8H17NO
143.9978071	C6H5ClO2
144.0341926	C7H9ClO
144.0422587	C6H8O4
144.0575149	C10H8O
144.0608857	C7H12OS
144.0786443	C7H12O3
144.0898776	C6H12N2O2
144.101111	C5H12N4O
144.1019051	C7H14NO2
144.1150298	C8H16O2
144.1382906	C8H18NO
144.9930561	C5H4ClNO2
145.0155229	C3H4ClN5
145.0197492	C5H7NO2S
145.0375077	C5H7NO4
145.0527639	C9H7NO
145.0738932	C6H11NO3
145.0851266	C5H11N3O2
145.1215121	C6H15N3O
145.1578976	C7H19N3
145.9092978	C2HCl3O
145.9456833	C3H5Cl3
145.9690055	C6H4Cl2
145.9995384	C3H3ClN4O
146.0134572	C6H7ClO2
146.0149981	C4H6N2O2S
146.0215233	C5H6O5
146.0223917	C6H10S2
146.0327567	C4H6N2O4
146.0367794	C9H6O2
146.0401503	C6H10O2S
146.0480128	C8H6N2O
146.0579088	C6H10O4
146.0691422	C5H10N2O3
146.0843983	C9H10N2
146.1055277	C6H14N2O2
146.1175552	C7H16NO2
146.1306798	C8H18O2
146.1531466	C6H18N4
146.983554	C3H2ClN3O2
147.0320284	C8H5NO2
147.0353992	C5H9NO2S
147.0531578	C5H9NO4
147.0643912	C4H9N3O3
147.0684139	C9H9NO
147.0895433	C6H13NO3
147.1047994	C10H13N
147.9249478	C2H3Cl3O
147.9846556	C6H6Cl2
147.9927217	C5H5ClO3
148.0007879	C4H4O6
148.0194148	C5H8O3S
148.0371734	C5H8O5
148.0484068	C4H8N2O4
148.0524295	C9H8O2
148.0735589	C6H12O4
148.088815	C10H12O
148.1000484	C9H12N2
149.0243562	C5H8ClNO2
149.0299199	C8H7NS
149.0324223	C4H7NO5
149.0332907	C5H11NS2
149.0476785	C8H7NO2
149.0510493	C5H11NO2S
149.0701453	C6H7N5
149.084064	C9H11NO
149.1051934	C6H15NO3
149.1204495	C10H15N
149.9809208	C4H6O2S2
150.0164379	C4H6O6
150.0316941	C8H6O3
150.0528234	C5H10O5
150.0536918	C6H14S2
150.0680796	C9H10O2
150.1044651	C10H14O
151.0188769	C8H6ClN
151.026943	C7H5NO3
151.0494098	C5H5N5O
151.0633285	C8H9NO2
151.0857953	C6H9N5
151.099714	C9H13NO
151.1360996	C10H17N
151.9779439	C3H4O5S
151.9874598	C3H5O5P
151.9965709	C4H8O2S2
152.0156668	C5H4N4S
152.0334254	C5H4N4O2
152.0449388	C6H9NaO3
152.0473441	C8H8O3
152.0585775	C7H8N2O2
152.0684735	C5H12O5
152.0837296	C9H12O2
152.1201151	C10H16O
152.9918199	C3H7NO2S2
153.0095784	C3H7NO4S
153.0425931	C7H7NO3
153.0554798	C4H12NO3P
153.0789786	C8H11NO2
153.090212	C7H11N3O
153.1153641	C9H15NO
154.0031098	C3H7O5P
154.0122209	C4H10O2S2
154.0185426	C8H7ClO
154.0266087	C7H6O4
154.0378421	C6H6N2O3
154.0394954	C4H11O4P
154.0629942	C8H10O3
154.0782503	C12H10
154.0993797	C9H14O2
154.1087218	C6H12N5
154.1357652	C10H18O
155.0137915	C7H6ClNO
155.0218577	C6H5NO4
155.0268548	C5H11Cl2N
155.0347443	C3H10NO4P
155.0694765	C6H9N3O2
155.0807099	C5H9N5O
155.0946287	C8H13NO2
155.1310142	C9H17NO
155.9574628	C6H5Br
155.9823744	C2H5O6P
155.9914855	C3H8O3S2
155.9978071	C7H5ClO2
156.0058732	C6H4O5
156.0171066	C5H4N2O4
156.0187599	C3H9O5P
156.0357336	C6H8N2OS
156.0422587	C7H8O4
156.0534921	C6H8N2O3
156.0575149	C11H8O
156.0647255	C5H8N4O2
156.0687483	C10H8N2
156.0939004	C12H12
156.1150298	C9H16O2
156.1514153	C10H20O
156.9930561	C6H4ClNO2
157.0375077	C6H7NO4
157.0738932	C7H11NO3
157.1102787	C8H15NO2
157.1327455	C6H15N5
158.0134572	C7H7ClO2
158.0215233	C6H6O5
158.0327567	C5H6N2O4
158.0367794	C10H6O2
158.0439901	C4H6N4O3
158.0579088	C7H10O4
158.0691422	C6H10N2O3
158.0731649	C11H10O
158.0843983	C10H10N2
158.0942943	C8H14O3
158.1306798	C9H18O2
158.1670653	C10H22O
159.0296231	C7H6NNaO2
159.0531578	C6H9NO4
159.0684139	C10H9NO
159.0895433	C7H13NO3
159.1007767	C6H13N3O2
159.1047994	C11H13N
159.1259288	C8H17NO2
159.1735477	C8H21N3
159.953173	C2H6Te
159.9927217	C6H5ClO3
160.0371734	C6H8O5
160.0484068	C5H8N2O4
160.0524295	C10H8O2
160.0735589	C7H12O4
160.0748963	C8H8N4
160.0847923	C6H12N2O3
160.0968197	C7H14NO3
160.1000484	C10H12N2
160.1099444	C8H16O3
160.1211778	C7H16N2O2
160.1332052	C8H18NO2
160.9799046	C6H5Cl2N
161.0324223	C5H7NO5
161.0476785	C9H7NO2
161.0688078	C6H11NO4
161.084064	C10H11NO
161.1051934	C7H15NO3
161.1073248	C10H13N2
161.1284542	C7H17N2O2
161.9042124	C2HCl3O2
161.9639202	C6H4Cl2O
162.0164379	C5H6O6
162.0173063	C6H10OS2
162.0316941	C9H6O3
162.0350649	C6H10O3S
162.0462983	C5H10N2O2S
162.0469502	C13H6
162.0528234	C6H10O5
162.0680796	C10H10O2
162.079313	C9H10N2O
162.0892089	C7H14O4
162.1004423	C6H14N2O3
162.1124698	C7H16NO3
162.1156985	C10H14N2
163.0303139	C5H9NO3S
163.0480724	C5H9NO5
163.0494098	C6H5N5O
163.0633285	C9H9NO2
163.0666994	C6H13NO2S
163.0844579	C6H13NO4
163.0857953	C7H9N5
163.099714	C10H13NO
163.1360996	C11H17N
163.8754108	C2Cl4
163.9198625	C2H3Cl3O2
163.9607266	C3H4Cl2F2O
164.032088	C5H8O6
164.0334254	C6H4N4O2
164.0473441	C9H8O3
164.0585775	C8H8N2O2
164.0626003	C13H8
164.0644747	C8H9BO3
164.0684735	C6H12O5
164.0739758	C6H14NO2S
164.0837296	C10H12O2
164.094963	C9H12N2O
164.1201151	C11H16O
165.0282054	C5H11NOS2
165.0425931	C8H7NO3
165.0459639	C5H11NO3S
165.0650599	C6H7N5O
165.0789786	C9H11NO2
165.1153641	C10H15NO
166.0266087	C8H6O4
166.0313169	C6H6N4S
166.0378421	C7H6N2O3
166.0477381	C5H10O6
166.056469	C8H10N2S
166.0629942	C9H10O3
166.0782503	C13H10
166.0966944	C6H10N6
166.0993797	C10H14O2
166.1226406	C10H16NO
166.975098	C3H4O6P-
166.9863405	C7H5NS2
167.0218577	C7H5NO4
167.0265659	C5H5N5S
167.0364619	C3H9N3O3S
167.0404846	C8H9NOS
167.0443244	C5H5N5O2
167.0582432	C8H9NO3
167.0734993	C12H9N
167.0807099	C6H9N5O
167.0946287	C9H13NO2
167.1058621	C8H13N3O
167.1673997	C11H21N
167.9728586	C3H4O6S
167.9823744	C3H5O6P
168.0009839	C3H2F6O
168.0090405	C7H5ClN2O
168.0187599	C4H9O5P
168.02834	C5H4N4O3
168.0422587	C8H8O4
168.0437383	C3H10N3O3S
168.0575149	C12H8O
168.0647255	C6H8N4O2
168.0665554	C5H13ClN2O2
168.0784063	C5H15NO3P
168.0786443	C9H12O3
168.0898776	C8H12N2O2
168.1150298	C10H16O2
168.9642003	C3H7NO2Se
168.9720145	C2H8AsNO3
168.9930561	C7H4ClNO2
169.004493	C3H7NO5S
169.0140089	C3H8NO5P
169.0294416	C8H8ClNO
169.0375077	C7H7NO4
169.0503944	C4H12NO4P
169.0738932	C8H11NO3
169.0851266	C7H11N3O2
169.0891494	C12H11N
169.1466642	C10H19NO
169.9885086	C3H6O6S
169.9980245	C3H7O6P
170.0134572	C8H7ClO2
170.0149981	C6H6N2O2S
170.0166514	C4H11O3PS
170.0215233	C7H6O5
170.0262315	C5H6N4OS
170.0439901	C5H6N4O3
170.0513836	C7H10N2OS
170.0579088	C8H10O4
170.0731649	C12H10O
170.0803756	C6H10N4O2
170.0942943	C9H14O3
170.0964258	C12H12N
170.1055277	C8H14N2O2
170.1095504	C13H14
170.1306798	C10H18O2
170.1670653	C11H22O
170.2034508	C12H26
170.9642545	C7H3Cl2N
170.9844489	C4H5CaNO4
171.0353992	C7H9NO2S
171.0531578	C7H9NO4
171.0895433	C8H13NO3
171.9459007	C4H4FeO4
171.9523774	C6H5BrO
172.0073873	C6H6NO3S-
172.0136745	C3H9O6P
172.0194148	C7H8O3S
172.0306482	C6H8N2O2S
172.0371734	C7H8O5
172.0484068	C6H8N2O4
172.0524295	C11H8O2
172.0735589	C8H12O4
172.0847923	C7H12N2O3
172.1000484	C11H12N2
172.1324112	C7H16N4O
172.1436445	C6H16N6
172.1463299	C10H20O2
173.0146638	C6H7NO3S
173.046823	C5H8ClN5
173.0476785	C10H7NO2
173.0688078	C7H11NO4
173.0800412	C6H11N3O3
173.084064	C11H11NO
173.1051934	C8H15NO3
173.1164267	C7H15N3O2
173.1204495	C12H15N
173.9719863	C6H3ClO4
173.9986794	C6H6O4S
174.0081952	C6H7O4P
174.0150784	C7H7FO2S
174.0164379	C6H6O6
174.0316941	C10H6O3
174.0528234	C7H10O5
174.0640568	C6H10N2O4
174.0680796	C11H10O2
174.079313	C10H10N2O
174.0892089	C8H14O4
174.0913404	C11H12NO
174.1004423	C7H14N2O3
174.1116757	C6H14N4O2
174.1156985	C11H14N2
174.1488553	C9H20NO2
175.0245377	C7H6NNaO3
175.0480724	C6H9NO5
175.0593058	C5H9N3O4
175.0633285	C10H9NO2
175.0844579	C7H13NO4
175.0857953	C8H9N5
175.0956913	C6H13N3O3
175.1109474	C10H13N3
175.1360996	C12H17N
175.956248	C4H7Cl3O
175.9876364	C6H5ClO4
175.9907948	C7H5NaO2S
176.032088	C6H8O6
176.0433214	C5H8N2O5
176.0473441	C10H8O3
176.0545548	C4H8N4O4
176.0585775	C9H8N2O2
176.0684735	C7H12O5
176.0837296	C11H12O2
176.0909403	C5H12N4O3
176.094963	C10H12N2O
176.104859	C8H16O4
177.0459639	C6H11NO3S
177.0637225	C6H11NO5
177.1153641	C11H15NO
177.138625	C11H17N2
177.9588348	C6H4Cl2O2
178.0064537	C6H8Cl2N2
178.0266087	C9H6O4
178.0412129	C5H10N2O3S
178.0477381	C6H10O6
178.0504181	C9H8NO3
178.0629942	C10H10O3
178.0742276	C9H10N2O2
178.0782503	C14H10
178.0841236	C7H14O5
178.0953569	C6H14N2O4
178.0993797	C11H14O2
178.1106131	C10H14N2O
178.1357652	C12H18O
178.988843	C4H5NO5S
179.0252285	C5H9NO4S
179.0443244	C6H5N5O2
179.0582432	C9H9NO3
179.061614	C6H13NO3S
179.0694765	C8H9N3O2
179.0793725	C6H13NO5
179.0946287	C10H13NO2
179.1058621	C9H13N3O
179.1310142	C11H17NO
179.1673997	C12H21N
179.9300332	C6H3Cl3
179.9744849	C6H6Cl2O2
180.0422587	C9H8O4
180.0456296	C6H12O4S
180.0534921	C8H8N2O3
180.056863	C5H12N2O3S
180.0575149	C13H8O
180.0633881	C6H12O6
180.0647255	C7H8N4O2
180.0687483	C12H8N2
180.0721191	C9H12N2S
180.0786443	C10H12O3
180.0898776	C9H12N2O2
180.1150298	C11H16O2
180.1262631	C10H16N2O
180.1382906	C11H18NO
180.1514153	C12H20O
181.0019906	C8H7NS2
181.0053614	C5H11NS3
181.0375077	C8H7NO4
181.0503944	C5H12NO4P
181.0738932	C9H11NO3
181.0869565	C7H16ClNO2
181.0971541	C9H13N2O2
181.9707501	C4H6O4S2
182.0215233	C8H6O5
182.0327567	C7H6N2O4
182.03441	C5H11O5P
182.0367794	C12H6O2
182.0579088	C9H10O4
182.0590517	C6H11FO5
182.0707955	C6H15O4P
182.0731649	C13H10O
182.0790382	C6H14O6
182.0803756	C7H10N4O2
182.0843983	C12H10N2
182.086684	C6H12F2N2O2
182.0871945	C7H16FO2P
182.091609	C6H10N6O
182.0942943	C10H14O3
182.1306798	C11H18O2
182.9798503	C4H9NO2Se
182.9990137	C7H5NO3S
183.0119004	C4H10NO3PS
183.0531578	C8H9NO4
183.0565286	C5H13NO4S
183.0660445	C5H14NO4P
183.0695568	C9H10FNO2
183.0756246	C6H9N5O2
183.0814772	C10H14ClN
183.0895433	C9H13NO3
183.1007767	C8H13N3O2
183.1026679	C10H15O3-
183.1259288	C10H17NO2
183.1623143	C11H21NO
183.9352947	C2H5AsO5
183.9714334	C3H2ClF5O
183.977289	C3H5O7P
184.0007879	C7H4O6
184.0120212	C6H4N2O5
184.0136745	C4H9O6P
184.0232546	C5H4N4O4
184.0371734	C8H8O5
184.0403406	C8H9ClN2O
184.0524295	C12H8O2
184.066459	C6H14FO3P
184.0735589	C9H12O4
184.0847923	C8H12N2O3
184.1000484	C12H12N2
184.1099444	C10H16O3
184.1252005	C14H16
184.1463299	C11H20O2
184.1827154	C12H24O
184.2191009	C13H28
184.9994077	C3H7NO6S
185.0089235	C3H8NO6P
185.0324223	C7H7NO5
185.084064	C12H11NO
185.1051934	C9H15NO3
185.118318	C10H17O3-
185.8679753	C2H4Br2
185.9929391	C3H7O7P
185.9986794	C7H6O4S
186.0083718	C8H7ClO3
186.0164379	C7H6O6
186.0316941	C11H6O3
186.0462983	C7H10N2O2S
186.0640568	C7H10N2O4
186.0680796	C12H10O2
186.079313	C11H10N2O
186.0892089	C9H14O4
186.1156985	C12H14N2
186.1255944	C10H18O3
186.1480612	C8H18N4O
186.16198	C11H22O2
186.1983655	C12H26O
187.0398297	C7H10NO3P
187.0480724	C7H9NO5
187.0624731	C6H10ClN5
187.0745619	C10H9N3O
187.0763918	C9H14ClNO
187.0844579	C8H13NO4
187.1030849	C9H17NOS
187.1127773	C10H18ClN
187.1208434	C9H17NO3
187.1360996	C13H17N
187.1572289	C10H21NO2
187.1684623	C9H21N3O
187.8916536	C2H4S5
187.9635562	C3H8O3S3
187.9872256	C3F8
188.0143294	C7H8O4S
188.032088	C7H8O6
188.039278	C12H9Cl
188.0473441	C11H8O3
188.0684735	C8H12O5
188.0797069	C7H12N2O4
188.0837296	C12H12O2
188.094963	C11H12N2O
188.104859	C9H16O4
188.1160924	C8H16N2O3
188.1273258	C7H16N4O2
188.1313485	C12H16N2
188.1412445	C10H20O3
188.1524779	C9H20N2O2
188.9748192	C7H5Cl2NO
189.0095784	C6H7NO4S
189.0385704	C5H7N3O5
189.0425931	C10H7NO3
189.0489546	C6H12N3PS
189.0637225	C7H11NO5
189.0749559	C6H11N3O4
189.0789786	C11H11NO2
189.0823494	C8H15NO2S
189.100108	C8H15NO4
189.1113414	C7H15N3O3
189.1153641	C12H15NO
189.1187349	C9H19NOS
189.9588348	C7H4Cl2O2
189.993594	C6H6O5S
190.0113525	C6H6O7
190.0266087	C10H6O4
190.0378421	C9H6N2O3
190.0477381	C7H10O6
190.0589714	C6H10N2O5
190.0629942	C11H10O3
190.0775984	C7H14N2O2S
190.0841236	C8H14O5
190.0953569	C7H14N2O4
190.0993797	C12H14O2
190.1065903	C6H14N4O3
190.1106131	C11H14N2O
191.0404846	C10H9NOS
191.042987	C6H9NO6
191.0582432	C10H9NO3
191.061614	C7H13NO3S
191.0694765	C9H9N3O2
191.1184381	C11H15N2O
191.1310142	C12H17NO
191.982551	C6H5ClO5
191.9978071	C10H5ClO2
192.0270026	C6H8O7
192.0422587	C10H8O4
192.0633881	C7H12O6
192.0786443	C11H12O3
192.0898776	C10H12N2O2
192.0997736	C8H16O5
192.1150298	C12H16O2
192.1262631	C11H16N2O
192.1514153	C13H20O
193.0375077	C9H7NO4
193.0586371	C6H11NO6
193.0738932	C10H11NO3
193.0891494	C14H11N
193.1102787	C11H15NO2
193.998201	C6H7ClO5
194.0426527	C6H10O7
194.0579088	C10H10O4
194.0731649	C14H10O
194.0790382	C7H14O6
194.0803756	C8H10N4O2
194.0942943	C11H14O3
194.1055277	C10H14N2O2
194.1306798	C12H18O2
195.0531578	C9H9NO4
195.0742872	C6H13NO6
195.0756246	C7H9N5O2
195.0814772	C11H14ClN
195.0895433	C10H13NO3
195.1106727	C7H17NO5
195.8902249	C2HBrClF3
195.9249478	C6H3Cl3O
195.977289	C4H5O7P
196.0232546	C6H4N4O4
196.0371734	C9H8O5
196.0524295	C13H8O2
196.0583027	C6H12O7
196.0735589	C10H12O4
196.0767261	C10H13ClN2
196.1211778	C10H16N2O2
196.1463299	C12H20O2
196.9955004	C5H11NO2Se
